"","bodyid","pre","post","upstream","downstream","status","statusLabel","voxels","cropped","name","type","cellBodyFiber","notes","soma"
"119",5813071409,102,236,236,1044,"Traced","Roughly traced",240227915,FALSE,"M_vPNml66_R","M_vPNml66","AVM04",NA,FALSE
"120",1037518512,136,487,487,1503,"Traced","Roughly traced",311299262,FALSE,"M_vPNml67_R","M_vPNml67","AVM04",NA,FALSE
"121",761938645,133,363,363,1462,"Traced","Roughly traced",239863991,FALSE,"M_vPNml67_R","M_vPNml67","AVM04",NA,FALSE
"122",882353566,207,294,294,2294,"Traced","Roughly traced",448538549,FALSE,"M_vPNml68_R","M_vPNml68","AVM04",NA,TRUE
"123",542311358,147,101,101,1331,"Traced","Roughly traced",338900141,FALSE,"M_vPNml69_R","M_vPNml69","AVM04",NA,TRUE
"124",480927537,83,279,279,698,"Traced","Roughly traced",244229430,FALSE,"M_vPNml70_R","M_vPNml70","AVM04",NA,FALSE
"125",541632990,97,311,311,819,"Traced","Roughly traced",234967286,FALSE,"M_vPNml70_R","M_vPNml70","AVM04",NA,FALSE
"126",727855437,174,290,290,1933,"Traced","Roughly traced",371922459,FALSE,"M_vPNml71_R","M_vPNml71","AVM04",NA,FALSE
"127",1415829574,121,653,653,1242,"Traced","Roughly traced",473272619,FALSE,"M_vPNml72_R","M_vPNml72","AVM04",NA,TRUE
"128",1570685257,125,328,328,1191,"Traced","Roughly traced",422460082,FALSE,"M_vPNml72_R","M_vPNml72","AVM04",NA,TRUE
"129",5812996003,130,422,422,1383,"Traced","Roughly traced",519474989,FALSE,"M_vPNml72_R","M_vPNml72","AVM04",NA,TRUE
"130",1701325725,152,296,296,1505,"Traced","Roughly traced",442290912,FALSE,"M_vPNml73_R","M_vPNml73","AVM04",NA,TRUE
"131",5813054911,114,256,256,944,"Traced","Roughly traced",182599640,FALSE,"M_vPNml74_R","M_vPNml74","AVM04",NA,FALSE
"132",698526273,90,174,174,827,"Traced","Roughly traced",215023713,FALSE,"M_vPNml74_R","M_vPNml74","AVM04",NA,FALSE
"133",729219639,86,88,88,732,"Traced","Roughly traced",161167587,FALSE,"M_vPNml74_R","M_vPNml74","AVM04",NA,FALSE
"134",759922408,137,345,345,1186,"Traced","Roughly traced",214624190,FALSE,"M_vPNml74_R","M_vPNml74","AVM04",NA,FALSE
"135",760264077,91,95,95,747,"Traced","Roughly traced",179308670,FALSE,"M_vPNml74_R","M_vPNml74","AVM04",NA,FALSE
"136",1322353824,130,162,162,1307,"Traced","Roughly traced",266266573,FALSE,"M_vPNml75_R","M_vPNml75","AVM04",NA,FALSE
"137",1539978151,152,306,306,1779,"Traced","Roughly traced",441777837,FALSE,"M_vPNml76_R","M_vPNml76","AVM04",NA,TRUE
"138",1570685132,149,322,322,1671,"Traced","Roughly traced",358332793,FALSE,"M_vPNml76_R","M_vPNml76","AVM04",NA,TRUE
"139",5813071369,157,435,435,1631,"Traced","Roughly traced",377311734,FALSE,"M_vPNml76_R","M_vPNml76","AVM04",NA,TRUE
"140",1322353841,168,234,234,1640,"Traced","Roughly traced",318244528,FALSE,"M_vPNml77_R","M_vPNml77","AVM04",NA,FALSE
"141",1447205712,186,174,174,1888,"Traced","Roughly traced",303442651,FALSE,"M_vPNml77_R","M_vPNml77","AVM04",NA,FALSE
"142",604726283,171,229,229,1690,"Traced","Roughly traced",335455818,FALSE,"M_vPNml77_R","M_vPNml77","AVM04",NA,FALSE
"143",760250511,129,159,159,1514,"Traced","Roughly traced",205811629,FALSE,"M_vPNml78_R","M_vPNml78","AVM04",NA,FALSE
"144",542665377,327,588,588,3164,"Traced","Roughly traced",842585003,FALSE,"M_vPNml79_R","M_vPNml79","AVM04",NA,TRUE
"145",637462647,110,430,430,1039,"Traced","Roughly traced",221454851,FALSE,"M_vPNml80_R","M_vPNml80","AVM04",NA,FALSE
"146",5813090752,93,181,181,993,"Traced","Roughly traced",238048938,FALSE,"M_vPNml81_R","M_vPNml81","AVM04",NA,FALSE
"147",5813014622,92,208,208,994,"Traced","Roughly traced",419670205,FALSE,"M_vPNml82_R","M_vPNml82","AVM04",NA,TRUE
"148",1447205602,177,319,319,1685,"Traced","Roughly traced",534139866,FALSE,"M_vPNml83_R","M_vPNml83","AVM04",NA,TRUE
"149",573669915,124,248,248,1165,"Traced","Roughly traced",419569314,FALSE,"M_vPNml83_R","M_vPNml83","AVM04",NA,TRUE
"150",697145036,147,161,161,1461,"Traced","Roughly traced",408567362,FALSE,"M_vPNml83_R","M_vPNml83","AVM04",NA,TRUE
"151",605050789,97,179,179,900,"Traced","Roughly traced",224091732,FALSE,"M_vPNml84_R","M_vPNml84","AVM04",NA,FALSE
"152",729544359,94,156,156,984,"Traced","Roughly traced",221825798,FALSE,"M_vPNml84_R","M_vPNml84","AVM04",NA,FALSE
"153",760250272,89,166,166,883,"Traced","Roughly traced",229217370,FALSE,"M_vPNml84_R","M_vPNml84","AVM04",NA,FALSE
"154",791298858,101,148,148,918,"Traced","Roughly traced",224738150,FALSE,"M_vPNml84_R","M_vPNml84","AVM04",NA,FALSE
"155",603349484,169,127,127,1565,"Traced","Roughly traced",253326549,FALSE,"M_vPNml85_R","M_vPNml85","AVM04",NA,FALSE
"156",635407942,165,139,139,1493,"Traced","Roughly traced",260402205,FALSE,"M_vPNml85_R","M_vPNml85","AVM04",NA,FALSE
"157",1571025824,125,163,163,1069,"Traced","Roughly traced",205592300,FALSE,"M_vPNml86_R","M_vPNml86","AVM04",NA,FALSE
"158",5813045696,97,249,249,810,"Traced","Roughly traced",216955160,FALSE,"M_vPNml86_R","M_vPNml86","AVM04",NA,FALSE
"159",572663539,218,268,268,2136,"Traced","Roughly traced",361577210,FALSE,"M_vPNml87_R","M_vPNml87","AVM04",NA,FALSE
"160",5813013823,176,268,268,1608,"Traced","Roughly traced",462928363,FALSE,"M_vPNml87_R","M_vPNml87","AVM04",NA,TRUE
"161",634379734,157,117,117,1644,"Traced","Roughly traced",362714214,FALSE,"M_vPNml88_R","M_vPNml88","AVM04",NA,TRUE
"162",1694850602,156,52,52,1755,"Traced","Roughly traced",317951856,FALSE,"M_vPNml89_R","M_vPNml89","AVM04",NA,TRUE
"163",1819326555,116,34,34,1267,"Traced","Roughly traced",173319855,FALSE,"M_vPNml89_R","M_vPNml89","AVM04",NA,FALSE
"164",481268653,146,58,58,1609,"Traced","Roughly traced",266715893,FALSE,"M_vPNml89_R","M_vPNml89","AVM04",NA,FALSE
