"","bodyid","ItoLee_Hemilineage","Hartenstein_Hemilineage","cellBodyFiber","cell.type","layer","ct.layer","FAFB.match","FAFB.match.quality","flywire.xyz","flywire.id","LM.match","LM.match.quality","CATMAID.nblast.top","flywire.nblast.top","User","note"
"33",1723506321,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm14",2.429,2,"199461","good","(117043.1325, 33405.14, 4180)","720575940624441177",NA,NA,NA,NA,"ASB",NA
"34",1794055377,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm15",2.625,3,"57536","good","(110724.985, 63822.395, 1842)","720575940634406030",NA,NA,NA,NA,"ASB",NA
"35",1037293275,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm16",3.052,3,"32793","good","(118630.43, 62616.3275, 1945)","720575940608771960",NA,NA,NA,NA,"ASB",NA
"36",1733677514,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm16",3.072,3,"32801","good","(117096.085, 63379.325, 1820)","720575940641817288",NA,NA,NA,NA,"ASB",NA
"37",5813083723,"ALl1_ventral","BAlc_ventral","AVM03","M_l2PNm17",2.396,2,"10078400","good","(115285.5, 66391.415, 2136)","720575940633301240",NA,NA,NA,NA,"ASB",NA
"38",577542489,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.281,2,"177545","good","(120004.1325, 62719.735, 2080)","720575940614141725","GMR_MB390B-20150814_31_C2","good",NA,NA,"ASB",NA
"39",1671952694,"ALlv1","BAlp4","AVM06","M_lvPNm24",2.309,2,"177584","good","(120232.475, 62621.7425, 2106)","720575940621885879","GMR_MB390B-20150814_31_C4","good",NA,NA,"ASB",NA
"40",639276164,"ALlv1","BAlp4","AVM06","M_lvPNm25",2.241,2,"1142316","good","(118734.64, 62901.07, 1834)","720575940613457088",NA,NA,NA,NA,"ASB",NA
"41",1411784734,"ALlv1","BAlp4","AVM06","M_lvPNm25",2.251,2,"177997","good","(120219.3, 62586.5, 1981)","720575940621387049",NA,NA,NA,NA,"ASB",NA
"42",1730656082,"ALlv1","BAlp4","AVM06","M_lvPNm26",2.478,3,"1144225","good","(119892.0625, 62636.715, 2002)","720575940612975040",NA,NA,NA,NA,"ASB",NA
"43",5812995328,"ALlv1","BAlp4","AVM06","M_lvPNm26",2.893,3,"1144402","good","(119060.57, 63137.27, 1797)","720575940606331659","GMR_SS01331-20150814_31_G6","good",NA,NA,"ASB",NA
"44",1670973150,"ALlv1","BAlp4","AVM06","M_lvPNm27",2.344,2,"57220","good","(120691.945, 60953.3275, 2095)","720575940617304837",NA,NA,NA,NA,"ASB",NA
"45",1670969304,"ALlv1","BAlp4","AVM06","M_lvPNm28",2.939,3,"1136366","good","(120871.39, 61887.11, 1883)","720575940611948584",NA,NA,NA,NA,"ASB",NA
"46",1672293837,"ALlv1","BAlp4","AVM06","M_lvPNm29",3.045,3,"1137895","good","(120327.345, 62818.45, 1756)","720575940625298825",NA,NA,NA,NA,"ASB",NA
"47",5813079228,"ALlv1","BAlp4","AVM06","M_lvPNm30",2.959,3,"56995","good","(119251.925, 62368.6925, 1917)","720575940622076424",NA,NA,NA,NA,"ASB",NA
