"","query","post_id","weight","n","type","xyz"
"192","720575940619141814","720575940597477267",11,1,NA,NA
"193","720575940619141814","720575940618373467",11,1,NA,NA
"194","720575940619141814","720575940618762856",11,1,NA,NA
"195","720575940619141814","720575940621453094",11,1,"M_lvPNm24_L","142736, 64969, 1549"
"196","720575940619141814","720575940625616145",11,1,NA,NA
"197","720575940617683505","720575940407081849",11,1,NA,NA
"198","720575940617683505","720575940612749202",11,1,"LHAD1f3_b","(96279.375, 38126.93, 3556)"
"199","720575940617683505","720575940614490652",11,1,NA,NA
"200","720575940617683505","720575940619341440",11,1,NA,NA
"201","720575940617683505","720575940622330254",11,1,NA,NA
"202","720575940617683505","720575940625454418",11,1,"LHMB1","94167, 44072, 4476"
"203","720575940617683505","720575940629009423",11,1,NA,NA
"204","720575940617683505","720575940633286324",11,1,"LHCENT11#1","115803, 46069, 658"
"205","720575940617683505","720575940635743551",11,1,NA,NA
"206","720575940617683505","720575940636497222",11,1,NA,NA
"207","720575940617683505","720575940639148673",11,1,NA,NA
"208","720575940621453094","720575940614492021",11,1,NA,NA
"209","720575940621453094","720575940616110228",11,1,NA,NA
"210","720575940621453094","720575940619175959",11,1,NA,NA
"211","720575940621453094","720575940623384909",11,1,NA,NA
"212","720575940621453094","720575940630509152",11,1,NA,NA
"213","720575940634787246","720575940555464893",10,1,NA,NA
"214","720575940634787246","720575940612884416",10,1,NA,NA
"215","720575940634787246","720575940617683505",10,1,"M_lvPNm24","(120232.475, 62621.7425, 2106)"
"216","720575940634787246","720575940619127280",10,1,NA,NA
"217","720575940634787246","720575940619933278",10,1,"ALIN3","(96820.75, 46862.25, 4395)"
"218","720575940634787246","720575940620633224",10,1,"LHAV1a3","(87156.57, 63990.025, 3158)"
"219","720575940634787246","720575940621310396",10,1,NA,NA
"220","720575940634787246","720575940621330606",10,1,NA,NA
"221","720575940634787246","720575940629652291",10,1,"SIP046","(110720, 26683.025, 2834)"
"222","720575940634787246","720575940635743551",10,1,NA,NA
"223","720575940634787246","720575940637058357",10,1,NA,NA
"224","720575940634787246","720575940643268206",10,1,"M_vPNml50","(119828.6, 60110.2925, 1919)"
"225","720575940619141814","720575940602747308",10,1,NA,NA
"226","720575940619141814","720575940612615678",10,1,NA,NA
"227","720575940619141814","720575940615832159",10,1,NA,NA
"228","720575940619141814","720575940616309840",10,1,NA,NA
"229","720575940619141814","720575940621379625",10,1,"DN","(130901, 83044, 5798)"
"230","720575940619141814","720575940628552911",10,1,NA,NA
"231","720575940617683505","720575940607494146",10,1,NA,NA
"232","720575940617683505","720575940612994752",10,1,NA,NA
"233","720575940617683505","720575940621601063",10,1,NA,NA
"234","720575940617683505","720575940623311207",10,1,NA,NA
"235","720575940617683505","720575940628639373",10,1,NA,NA
"236","720575940621453094","720575940589331349",10,1,NA,NA
"237","720575940621453094","720575940610491562",10,1,"M_vPNml51_L","156794, 46623, 2817"
"238","720575940621453094","720575940612615678",10,1,NA,NA
"239","720575940621453094","720575940625038176",10,1,NA,NA
"240","720575940621453094","720575940628665756",10,1,NA,NA
"241","720575940621453094","720575940631539993",10,1,"M_vPNml50_L","157220, 46897, 2817"
"242","720575940621453094","720575940631693664",10,1,NA,NA
"243","720575940621453094","720575940657910145",10,1,NA,NA
"244","720575940634787246","720575940429134630",9,1,NA,NA
"245","720575940634787246","720575940592565935",9,1,NA,NA
"246","720575940634787246","720575940603305999",9,1,NA,NA
"247","720575940634787246","720575940606477525",9,1,NA,NA
"248","720575940634787246","720575940609313850",9,1,NA,NA
"249","720575940634787246","720575940612992479",9,1,"M_vPNml52","(114132.65, 60609.535, 1765)"
"250","720575940634787246","720575940621387049",9,1,"M_lvPNm25","(120219.3, 62586.5, 1981)"
"251","720575940634787246","720575940622386620",9,1,NA,NA
"252","720575940634787246","720575940622406332",9,1,NA,NA
"253","720575940634787246","720575940622510094",9,1,NA,NA
"254","720575940634787246","720575940624186797",9,1,NA,NA
"255","720575940634787246","720575940627897333",9,1,NA,NA
"256","720575940634787246","720575940630416173",9,1,"CRE076","(117394.46, 32216.0125, 3006)"
"257","720575940619141814","720575940593002428",9,1,NA,NA
"258","720575940619141814","720575940602527968",9,1,NA,NA
"259","720575940619141814","720575940603723296",9,1,NA,NA
"260","720575940619141814","720575940610009201",9,1,"SMP090","(125081.1175, 26051.205, 2499)"
"261","720575940619141814","720575940615921996",9,1,NA,NA
"262","720575940619141814","720575940620888088",9,1,NA,NA
"263","720575940619141814","720575940624033994",9,1,NA,NA
"264","720575940619141814","720575940624655759",9,1,NA,NA
"265","720575940619141814","720575940625600529",9,1,NA,NA
"266","720575940619141814","720575940627988124",9,1,NA,NA
"267","720575940619141814","720575940630284319",9,1,NA,NA
"268","720575940619141814","720575940631603808",9,1,NA,NA
"269","720575940619141814","720575940632754879",9,1,NA,NA
"270","720575940619141814","720575940633847151",9,1,NA,NA
"271","720575940617683505","720575940393243192",9,1,NA,NA
"272","720575940617683505","720575940464439247",9,1,NA,NA
"273","720575940617683505","720575940529186745",9,1,NA,NA
"274","720575940617683505","720575940591926638",9,1,NA,NA
