"","query","post_id","weight","n","type","xyz"
"216","720575940628000567","720575940636514630",9,1,"LHAD1f3_a","(96137.9, 38360.2, 3604)"
"217","720575940628000567","720575940636792373",9,1,NA,NA
"218","720575940616624182","720575940603582806",9,1,NA,NA
"219","720575940616624182","720575940609901425",9,1,NA,NA
"220","720575940616624182","720575940615786480",9,1,NA,NA
"221","720575940616624182","720575940615841826",9,1,NA,NA
"222","720575940616624182","720575940622206707",9,1,"WEDPN4","(101778.14, 62440.335, 4163)"
"223","720575940616624182","720575940622463719",9,1,"LHAV1a2_a","(93607.095, 48860.9425, 3498)"
"224","720575940616624182","720575940624655004",9,1,NA,NA
"225","720575940616624182","720575940627264737",9,1,NA,NA
"226","720575940616624182","720575940629009938",9,1,"LHPV5b3","(95415.5, 31741.2575, 2749)"
"227","720575940616624182","720575940632396974",9,1,NA,NA
"228","720575940616624182","720575940633339572",9,1,NA,NA
"229","720575940616624182","720575940635896553",9,1,NA,NA
"230","720575940616624182","720575940637428056",9,1,"v2LN34E","(110784.875, 67964.05, 1774)"
"231","720575940616624182","720575940638579957",9,1,NA,NA
"232","720575940616624182","720575940647541369",9,1,NA,NA
"233","720575940628000567","720575940579174985",8,1,NA,NA
"234","720575940628000567","720575940579950095",8,1,NA,NA
"235","720575940628000567","720575940605306355",8,1,NA,NA
"236","720575940628000567","720575940608487288",8,1,NA,NA
"237","720575940628000567","720575940608771960",8,1,"M_l2PNm16","(118630.43, 62616.3275, 1945)"
"238","720575940628000567","720575940610115737",8,1,NA,NA
"239","720575940628000567","720575940610749042",8,1,NA,NA
"240","720575940628000567","720575940615368994",8,1,NA,NA
"241","720575940628000567","720575940615775771",8,1,NA,NA
"242","720575940628000567","720575940621597365",8,1,NA,NA
"243","720575940628000567","720575940622472255",8,1,NA,NA
"244","720575940628000567","720575940622835132",8,1,NA,NA
"245","720575940628000567","720575940625280338",8,1,NA,NA
"246","720575940628000567","720575940626743339",8,1,NA,NA
"247","720575940628000567","720575940629787276",8,1,"v2LN34A","(110989.265, 67971.29, 1774)"
"248","720575940628000567","720575940629885348",8,1,NA,NA
"249","720575940628000567","720575940635593444",8,1,NA,NA
"250","720575940628000567","720575940639676545",8,1,NA,NA
"251","720575940628000567","720575940641817288",8,1,"M_l2PNm16","(117096.085, 63379.325, 1820)"
"252","720575940628000567","720575940647209081",8,1,NA,NA
"253","720575940628000567","720575940649990646",8,1,"WEDPN12","(92430.825, 40033.82, 5261)"
"254","720575940616624182","720575940534016809",8,1,NA,NA
"255","720575940616624182","720575940584386783",8,1,NA,NA
"256","720575940616624182","720575940602227680",8,1,NA,NA
"257","720575940616624182","720575940608106542",8,1,NA,NA
"258","720575940616624182","720575940608728168",8,1,NA,NA
"259","720575940616624182","720575940616236389",8,1,NA,NA
"260","720575940616624182","720575940617001339",8,1,NA,NA
"261","720575940616624182","720575940618069524",8,1,"lLN1_b","(113769.5625, 59929.22, 1389)"
"262","720575940616624182","720575940619767932",8,1,NA,NA
"263","720575940616624182","720575940620711949",8,1,NA,NA
"264","720575940616624182","720575940625887484",8,1,NA,NA
"265","720575940616624182","720575940627942905",8,1,NA,NA
"266","720575940616624182","720575940627992124",8,1,"lLN1_b","(114847.75, 59263, 1529)"
"267","720575940616624182","720575940628697057",8,1,NA,NA
"268","720575940616624182","720575940630250628",8,1,NA,NA
"269","720575940616624182","720575940634764400",8,1,NA,NA
"270","720575940616624182","720575940637101646",8,1,NA,NA
"271","720575940616624182","720575940637480307",8,1,NA,NA
"272","720575940616624182","720575940639730395",8,1,"LHPV2d1","(95389.9, 49879.87, 4638)"
"273","720575940616624182","720575940640187336",8,1,NA,NA
"274","720575940616624182","720575940640580296",8,1,NA,NA
"275","720575940616624182","720575940646495353",8,1,NA,NA
"276","720575940628000567","720575940456196644",7,1,NA,NA
"277","720575940628000567","720575940487331984",7,1,NA,NA
"278","720575940628000567","720575940589534039",7,1,NA,NA
"279","720575940628000567","720575940593013044",7,1,NA,NA
"280","720575940628000567","720575940600645892",7,1,NA,NA
"281","720575940628000567","720575940605808166",7,1,NA,NA
"282","720575940628000567","720575940607951217",7,1,NA,NA
"283","720575940628000567","720575940610379493",7,1,NA,NA
"284","720575940628000567","720575940611099619",7,1,NA,NA
"285","720575940628000567","720575940613296130",7,1,NA,NA
"286","720575940628000567","720575940615210333",7,1,NA,NA
"287","720575940628000567","720575940615600774",7,1,NA,NA
"288","720575940628000567","720575940622663245",7,1,NA,NA
"289","720575940628000567","720575940625724584",7,1,NA,NA
"290","720575940628000567","720575940626809051",7,1,NA,NA
"291","720575940628000567","720575940629450040",7,1,NA,NA
"292","720575940628000567","720575940632183964",7,1,NA,NA
"293","720575940628000567","720575940633259627",7,1,NA,NA
"294","720575940628000567","720575940634552750",7,1,"LHAV1a1","(93273.265, 48076.035, 3758)"
"295","720575940628000567","720575940635802084",7,1,NA,NA
"296","720575940628000567","720575940636985505",7,1,NA,NA
"297","720575940628000567","720575940637561661",7,1,NA,NA
"298","720575940628000567","720575940637567805",7,1,NA,NA
"299","720575940628000567","720575940638275876",7,1,NA,NA
"300","720575940616624182","720575940420016376",7,1,NA,NA
"301","720575940616624182","720575940482702053",7,1,NA,NA
"302","720575940616624182","720575940583236747",7,1,NA,NA
"303","720575940616624182","720575940585671340",7,1,NA,NA
"304","720575940616624182","720575940589537623",7,1,NA,NA
"305","720575940616624182","720575940597103282",7,1,NA,NA
"306","720575940616624182","720575940603236910",7,1,NA,NA
"307","720575940616624182","720575940606997443",7,1,NA,NA
"308","720575940616624182","720575940607344790",7,1,NA,NA
"309","720575940616624182","720575940610070937",7,1,NA,NA
"310","720575940616624182","720575940610749042",7,1,NA,NA
"311","720575940616624182","720575940611860776",7,1,NA,NA
"312","720575940616624182","720575940612488958",7,1,NA,NA
"313","720575940616624182","720575940614229345",7,1,NA,NA
"314","720575940616624182","720575940616289605",7,1,"LHPV10d1","(119883.5075, 30134.4825, 2924)"
"315","720575940616624182","720575940616901985",7,1,NA,NA
"316","720575940616624182","720575940617049639",7,1,NA,NA
"317","720575940616624182","720575940618705005",7,1,"LHPV4i1","(90525.03, 36472.175, 4824)"
"318","720575940616624182","720575940619447478",7,1,"LHAV4f1","(88554, 41063.25, 3762)"
"319","720575940616624182","720575940619949737",7,1,NA,NA
"320","720575940616624182","720575940621757437",7,1,NA,NA
"321","720575940616624182","720575940622176329",7,1,"CSD","(121294.025, 34779.675, 4022)"
"322","720575940616624182","720575940622758548",7,1,"LHAV4a3_a","(90024.89, 43116.46, 3688)"
"323","720575940616624182","720575940622919182",7,1,"LHMB1","164303, 60399, 4410"
"324","720575940616624182","720575940623579040",7,1,NA,NA
"325","720575940616624182","720575940624171838",7,1,"M_spPN4t9_L","141877, 66873, 2125"
"326","720575940616624182","720575940625811343",7,1,NA,NA
"327","720575940616624182","720575940625827144",7,1,NA,NA
"328","720575940616624182","720575940625860324",7,1,NA,NA
"329","720575940616624182","720575940626095004",7,1,NA,NA
"330","720575940616624182","720575940626296592",7,1,NA,NA
"331","720575940616624182","720575940629184075",7,1,NA,NA
"332","720575940616624182","720575940630718381",7,1,NA,NA
"333","720575940616624182","720575940633259627",7,1,NA,NA
"334","720575940616624182","720575940634217061",7,1,NA,NA
"335","720575940616624182","720575940634249079",7,1,NA,NA
"336","720575940616624182","720575940635283684",7,1,NA,NA
"337","720575940616624182","720575940639676545",7,1,NA,NA
"338","720575940628000567","720575940412219882",6,1,NA,NA
"339","720575940628000567","720575940415969942",6,1,NA,NA
"340","720575940628000567","720575940456376226",6,1,NA,NA
"341","720575940628000567","720575940459196823",6,1,NA,NA
"342","720575940628000567","720575940465728688",6,1,NA,NA
"343","720575940628000567","720575940465774890",6,1,NA,NA
"344","720575940628000567","720575940469024459",6,1,NA,NA
"345","720575940628000567","720575940487341200",6,1,NA,NA
"346","720575940628000567","720575940540446960",6,1,NA,NA
"347","720575940628000567","720575940549721156",6,1,NA,NA
"348","720575940628000567","720575940574626214",6,1,NA,NA
"349","720575940628000567","720575940581703202",6,1,NA,NA
"350","720575940628000567","720575940585416620",6,1,NA,NA
"351","720575940628000567","720575940590736379",6,1,NA,NA
"352","720575940628000567","720575940600013907",6,1,NA,NA
"353","720575940628000567","720575940602454839",6,1,NA,NA
"354","720575940628000567","720575940603213614",6,1,NA,NA
"355","720575940628000567","720575940604970483",6,1,NA,NA
"356","720575940628000567","720575940605698582",6,1,NA,NA
"357","720575940628000567","720575940605844262",6,1,NA,NA
"358","720575940628000567","720575940611918801",6,1,"LHAV3e4_a","(86798.8, 43072.8175, 4496)"
"359","720575940628000567","720575940612488958",6,1,NA,NA
"360","720575940628000567","720575940612579986",6,1,NA,NA
"361","720575940628000567","720575940612599550",6,1,NA,NA
"362","720575940628000567","720575940612758166",6,1,"LHPV4a5_a","(91480.375, 34818.3825, 4592)"
"363","720575940628000567","720575940613990080",6,1,NA,NA
"364","720575940628000567","720575940614226880",6,1,NA,NA
"365","720575940628000567","720575940614429008",6,1,NA,NA
"366","720575940628000567","720575940614904669",6,1,"LHPV1c1","(109429.765, 35937.2425, 4330)"
"367","720575940628000567","720575940614990621",6,1,NA,NA
"368","720575940628000567","720575940615125629",6,1,NA,NA
"369","720575940628000567","720575940616321121",6,1,NA,NA
"370","720575940628000567","720575940617001339",6,1,NA,NA
"371","720575940628000567","720575940617563433",6,1,NA,NA
"372","720575940628000567","720575940618089349",6,1,NA,NA
"373","720575940628000567","720575940618107739",6,1,NA,NA
