"","query","post_id","weight","n","type","xyz"
"1","720575940624171838","720575940602747308",299,1,NA,NA
"2","720575940615096891","720575940616227894",290,1,NA,NA
"3","720575940624171838","720575940606494044",170,1,NA,NA
"4","720575940624171838","720575940622302728",166,1,"LHCENT4#1","169739, 31288, 3630"
"5","720575940615096891","720575940613563039",148,1,NA,NA
"6","720575940615096891","720575940619965466",148,1,"CRE011","(113856.25, 57428, 2917)"
"7","720575940624171838","720575940607390147",146,1,"CRE011","(147381, 43370, 654)"
"8","720575940615096891","720575940606943957",131,1,"LHCENT4#1","86840, 42870, 3206"
"9","720575940624171838","720575940621015309",126,1,"SMP151","(149574.7, 32805.4175, 2671)"
"10","720575940624171838","720575940647678329",115,1,NA,NA
"11","720575940615096891","720575940630507940",111,1,NA,NA
"12","720575940615096891","720575940624449794",106,1,"DP1m_adPN","(100247.975, 33377.4, 4681)"
"13","720575940624171838","720575940640483784",105,1,NA,NA
"14","720575940615096891","720575940615115835",98,1,"LHAV6g1","(100508.5, 33604, 3727)"
"15","720575940615096891","720575940622206707",77,1,"WEDPN4","(101778.14, 62440.335, 4163)"
"16","720575940615096891","720575940630416173",74,1,"CRE076","(117394.46, 32216.0125, 3006)"
"17","720575940615096891","720575940618528427",69,1,NA,NA
"18","720575940624171838","720575940630033256",62,1,NA,NA
"19","720575940624171838","720575940612421031",59,1,NA,NA
"20","720575940624171838","720575940637248829",57,1,NA,NA
"21","720575940615096891","720575940606506763",56,1,"SMP085","(129280.075, 26722.455, 2340)"
"22","720575940624171838","720575940625054474",55,1,"LHCENT3#1","178030, 48349, 2827"
"23","720575940615096891","720575940630609747",54,1,NA,NA
"24","720575940615096891","720575940629726521",52,1,"LHCENT3#1","84200, 44289, 4037"
"25","720575940624171838","720575940608515448",51,1,NA,NA
"26","720575940624171838","720575940614933533",46,1,NA,NA
"27","720575940624171838","720575940614164411",44,1,"LHCENT8#2","159669, 35349, 2892"
"28","720575940624171838","720575940610869014",42,1,NA,NA
"29","720575940624171838","720575940627159655",42,1,NA,NA
"30","720575940615096891","720575940626296592",36,1,NA,NA
"31","720575940624171838","720575940625557135",36,1,NA,NA
"32","720575940615096891","720575940626903671",35,1,NA,NA
"33","720575940624171838","720575940614494100",35,1,NA,NA
"34","720575940624171838","720575940623384909",34,1,NA,NA
"35","720575940624171838","720575940614492308",33,1,NA,NA
"36","720575940615096891","720575940622548263",32,1,NA,NA
"37","720575940615096891","720575940622993336",32,1,"LHPV4m1","(106320, 32443.0625, 3456)"
"38","720575940624171838","720575940653259905",32,1,NA,NA
"39","720575940624171838","720575940603357472",31,1,NA,NA
"40","720575940615096891","720575940617439537",30,1,"WEDPN2B","(102148.5075, 61254.0575, 4313)"
"41","720575940615096891","720575940623009047",30,1,NA,NA
"42","720575940624171838","720575940609120354",30,1,"LHCENT8#1","172642, 50123, 3477"
"43","720575940624171838","720575940653663105",30,1,NA,NA
"44","720575940615096891","720575940603573862",29,1,NA,NA
"45","720575940615096891","720575940624895774",29,1,"SMP081","(123285.5, 23970.75, 1963)"
"46","720575940624171838","720575940625197322",29,1,NA,NA
"47","720575940624171838","720575940610290841",28,1,NA,NA
"48","720575940615096891","720575940605235378",27,1,NA,NA
"49","720575940615096891","720575940611099619",27,1,NA,NA
"50","720575940624171838","720575940625937393",27,1,NA,NA
"51","720575940615096891","720575940626001404",26,1,NA,NA
"52","720575940615096891","720575940612378048",25,1,NA,NA
